id,class,name,h27,h22,inc,inc_rate,area,density,family_h27,family_h22,family_inc,family_rate
39424,3,大月町,5095,5783,-688,-11.8969393049,102.94,49.5,2369,2573,-204,-7.9284881461
39427,3,三原村,1574,1681,-107,-6.3652587745,85.37,18.4,703,745,-42,-5.6375838926
39428,3,黒潮町,11217,12366,-1149,-9.2916060165,188.59,59.5,4899,5052,-153,-3.0285035629
40100,1,北九州市,961286,976846,-15560,-1.5928815801,491.95,1954,426325,420702,5623,1.3365755333
40101,0,北九州市 門司区,99637,104469,-4832,-4.6252955422,73.67,1352.5,43082,44232,-1150,-2.5999276542
40103,0,北九州市 若松区,82844,85167,-2323,-2.7275822795,71.31,1161.7,33692,33495,197,0.5881474847
40105,0,北九州市 戸畑区,59116,61583,-2467,-4.0059756751,16.61,3559.1,27797,28064,-267,-0.9513968073
40106,0,北九州市 小倉北区,181878,181936,-58,-0.0318793422,39.23,4636.2,91253,89036,2217,2.4900040433
40107,0,北九州市 小倉南区,212850,214793,-1943,-0.9045918629,171.74,1239.4,88497,86420,2077,2.4033788475
40108,0,北九州市 八幡東区,68844,71801,-2957,-4.1183270428,36.26,1898.6,31442,32142,-700,-2.1778358534
40109,0,北九州市 八幡西区,256117,257097,-980,-0.381179088,83.13,3080.9,110562,107313,3249,3.0275921836
40130,1,福岡市,1538681,1463743,74938,5.1196145771,343.39,4480.9,764820,707358,57462,8.1234678904
40131,0,福岡市 東区,306015,292199,13816,4.728284491,69.36,4412,141682,133165,8517,6.3958247287
40132,0,福岡市 博多区,228441,212527,15914,7.4879897613,31.63,7222.3,138832,124266,14566,11.7216294079
40133,0,福岡市 中央区,192688,178429,14259,7.9914139518,15.4,12512.2,116186,106966,9220,8.6195613559
40134,0,福岡市 南区,255797,247096,8701,3.521303461,30.98,8256.8,119637,112423,7214,6.4168364125
40135,0,福岡市 西区,206868,193280,13588,7.0302152318,84.17,2457.7,88142,78018,10124,12.9764926043
40136,0,福岡市 城南区,130995,128659,2336,1.815652228,15.99,8192.3,64606,62266,2340,3.7580702149
40137,0,福岡市 早良区,217877,211553,6324,2.9893218248,95.87,2272.6,95735,90254,5481,6.0728610366
40202,2,大牟田市,117360,123638,-6278,-5.0777269124,81.45,1440.9,49398,49936,-538,-1.0773790452
40203,2,久留米市,304552,302402,2150,0.7109741338,229.96,1324.4,121913,116664,5249,4.499245697
40204,2,直方市,57146,57686,-540,-0.9361023472,61.76,925.3,23281,22645,636,2.8085670126
40205,2,飯塚市,129146,131492,-2346,-1.784138959,214.07,603.3,54732,53451,1281,2.3965875288
40206,2,田川市,48441,50605,-2164,-4.2762572868,54.55,888,20955,21198,-243,-1.1463345599
40207,2,柳川市,67777,71375,-3598,-5.0409807356,77.15,878.5,23453,23333,120,0.5142930613
40210,2,八女市,64408,69057,-4649,-6.732119843,482.44,133.5,22109,22316,-207,-0.9275855888
40211,2,筑後市,48339,48512,-173,-0.3566127968,41.78,1157,17379,16628,751,4.5164782295
40212,2,大川市,34838,37448,-2610,-6.9696646016,33.62,1036.2,12709,12577,132,1.0495348652
40213,2,行橋市,70586,70468,118,0.1674518931,70.05,1007.7,28648,27634,1014,3.669392777
40214,2,豊前市,25940,27031,-1091,-4.0361066923,111.1,233.5,10070,10095,-25,-0.2476473502
40215,2,中間市,41796,44210,-2414,-5.4603030988,15.96,2618.8,17414,17801,-387,-2.1740351666
40216,2,小郡市,57983,58499,-516,-0.8820663601,45.51,1274.1,20964,20024,940,4.6943667599
40217,2,筑紫野市,101081,100172,909,0.9074392046,87.73,1152.2,39350,37703,1647,4.368352651
40218,2,春日市,110743,106780,3963,3.7113691703,14.15,7826.4,43720,41075,2645,6.4394400487
40219,2,大野城市,99525,95087,4438,4.6673046789,26.89,3701.2,39885,36778,3107,8.4479852085
40220,2,宗像市,96516,95501,1015,1.0628160962,119.91,804.9,38995,37077,1918,5.1730183132
40221,2,太宰府市,72168,70482,1686,2.3921001107,29.6,2438.1,29107,27850,1257,4.513464991
40223,2,古賀市,57959,57920,39,0.0673342541,42.07,1377.7,22320,21517,803,3.7319328903
40224,2,福津市,58781,55431,3350,6.0435496383,52.76,1114.1,22272,20482,1790,8.7393809198
40225,2,うきは市,29509,31640,-2131,-6.7351453856,117.46,251.2,9940,10219,-279,-2.7302084353
40226,2,宮若市,28112,30081,-1969,-6.5456600512,139.99,200.8,10737,11094,-357,-3.2179556517
40227,2,嘉麻市,38743,42589,-3846,-9.0305008335,135.11,286.8,15637,16472,-835,-5.0692083536
40228,2,朝倉市,52444,56355,-3911,-6.9399343448,246.71,212.6,19088,19064,24,0.1258917331
40229,2,みやま市,38139,40732,-2593,-6.3660021605,105.21,362.5,12941,13072,-131,-1.0021419829
40230,2,糸島市,96475,98435,-1960,-1.9911616803,215.7,447.3,34739,33765,974,2.884643862
40305,3,那珂川町,50004,49780,224,0.4499799116,74.95,667.2,18291,17619,672,3.8140643623
40341,3,宇美町,37927,38592,-665,-1.723155058,30.21,1255.4,13119,12867,252,1.9584984845
40342,3,篠栗町,31210,31318,-108,-0.3448496073,38.93,801.7,11539,11060,479,4.3309222423
40343,3,志免町,45256,43564,1692,3.8839408686,8.69,5207.8,17591,16617,974,5.8614671722
40344,3,須恵町,27263,26044,1219,4.6805406236,16.31,1671.6,9919,9077,842,9.2761925746
40345,3,新宮町,30344,24679,5665,22.9547388468,18.93,1603,10946,8865,2081,23.4743372814
40348,3,久山町,8225,8373,-148,-1.7675862893,37.44,219.7,2825,2657,168,6.3229205871
40349,3,粕屋町,45360,41997,3363,8.0077148368,14.13,3210.2,18005,16232,1773,10.9228684081
40381,3,芦屋町,14208,15369,-1161,-7.55416748,11.6,1224.8,5573,5891,-318,-5.3980648447
40382,3,水巻町,28997,30021,-1024,-3.4109456714,11.01,2633.7,12220,12087,133,1.1003557541
40383,3,岡垣町,31580,32119,-539,-1.6781344376,48.64,649.3,11784,11656,128,1.0981468771
40384,3,遠賀町,18877,19160,-283,-1.4770354906,22.15,852.2,7269,7056,213,3.018707483
40401,3,小竹町,7810,8602,-792,-9.2071611253,14.18,550.8,3331,3511,-180,-5.1267445172
40402,3,鞍手町,16007,17088,-1081,-6.326076779,35.6,449.6,6393,6510,-117,-1.797235023
40421,3,桂川町,13496,13863,-367,-2.6473346318,20.14,670.1,5226,5216,10,0.1917177914
40447,3,筑前町,29306,29155,151,0.5179214543,67.1,436.8,9767,9297,470,5.0553942132
40448,3,東峰村,2174,2432,-258,-10.6085526316,51.97,41.8,742,798,-56,-7.0175438596
40503,3,大刀洗町,15138,15284,-146,-0.9552473175,22.84,662.8,5008,4793,215,4.4857083246
40522,3,大木町,14176,14350,-174,-1.212543554,18.44,768.8,4556,4470,86,1.9239373602
40544,3,広川町,20183,20253,-70,-0.3456278082,37.94,532,7007,6799,208,3.0592734226
40601,3,香春町,10861,11685,-824,-7.0517757809,44.5,244.1,4429,4595,-166,-3.6126224157
40602,3,添田町,9924,10909,-985,-9.0292419103,132.2,75.1,4029,4215,-186,-4.4128113879
40604,3,糸田町,9020,9617,-597,-6.2077570968,8.04,1121.9,3814,3924,-110,-2.8032619776
40605,3,川崎町,16789,18264,-1475,-8.0759964958,36.14,464.6,7349,7693,-344,-4.4715975562
40608,3,大任町,5176,5503,-327,-5.9422133382,14.26,363,2052,2083,-31,-1.4882381181
40609,3,赤村,3022,3251,-229,-7.0439864657,31.98,94.5,1127,1157,-30,-2.5929127053
40610,3,福智町,22871,24714,-1843,-7.4573116452,42.06,543.8,8727,8998,-271,-3.0117803956
40621,3,苅田町,34963,36005,-1042,-2.8940424941,48.88,715.3,15341,15560,-219,-1.4074550129
40625,3,みやこ町,20243,21572,-1329,-6.1607639533,151.34,133.8,7527,7703,-176,-2.2848240945
40642,3,吉富町,6627,6792,-165,-2.4293286219,5.72,1158.6,2589,2645,-56,-2.1172022684
40646,3,上毛町,7458,7852,-394,-5.0178298523,62.44,119.4,2791,2843,-52,-1.8290538164
40647,3,築上町,18587,19544,-957,-4.8966434711,119.61,155.4,7250,7444,-194,-2.6061257389
41201,2,佐賀市,236372,237506,-1134,-0.477461622,431.84,547.4,93306,90435,2871,3.1746558302
41202,2,唐津市,122785,126926,-4141,-3.2625309235,487.58,251.8,43872,43651,221,0.5062885157
41203,2,鳥栖市,72902,69074,3828,5.5418826186,71.72,1016.5,27630,25219,2411,9.5602521908
41204,2,多久市,19749,21404,-1655,-7.7321995889,96.96,203.7,6847,7100,-253,-3.5633802817
41205,2,伊万里市,55238,57161,-1923,-3.3641818723,255.25,216.4,19698,19614,84,0.4282655246
41206,2,武雄市,49062,50699,-1637,-3.2288605298,195.4,251.1,16932,16674,258,1.5473191796
41207,2,鹿島市,29684,30720,-1036,-3.3723958333,112.12,264.8,10124,10055,69,0.6862257583
41208,2,小城市,44259,45133,-874,-1.9364987925,95.81,461.9,14769,14305,464,3.2436211115
41209,2,嬉野市,27336,28984,-1648,-5.6858956666,126.41,216.2,9214,9314,-100,-1.073652566
41210,2,神埼市,31842,32899,-1057,-3.2128636129,125.13,254.5,10913,10741,172,1.6013406573
41327,3,吉野ヶ里町,16411,16405,6,0.0365742152,43.99,373.1,5891,5478,413,7.5392479007
41341,3,基山町,17501,17837,-336,-1.8837248416,22.15,790.1,6321,6025,296,4.9128630705
41345,3,上峰町,9283,9224,59,0.6396357329,12.8,725.2,3260,3074,186,6.0507482108
41346,3,みやき町,25278,26175,-897,-3.4269340974,51.92,486.9,8638,8437,201,2.3823633993
41387,3,玄海町,5902,6379,-477,-7.4776610754,35.92,164.3,1918,1959,-41,-2.0929045431
41401,3,有田町,20148,20929,-781,-3.731664198,65.85,306,6900,6916,-16,-0.2313475998
41423,3,大町町,6777,7369,-592,-8.0336544986,11.5,589.3,2560,2694,-134,-4.9740163326
41424,3,江北町,9583,9515,68,0.7146610615,24.49,391.3,3225,3076,149,4.843953186
41425,3,白石町,23941,25607,-1666,-6.5060335065,99.56,240.5,7253,7346,-93,-1.2659950994
41441,3,太良町,8779,9842,-1063,-10.8006502743,74.3,118.2,2838,2925,-87,-2.9743589744
42201,2,長崎市,429508,443766,-14258,-3.2129545752,405.86,1058.3,189419,187685,1734,0.9238884301
42202,2,佐世保市,255439,261101,-5662,-2.168509504,426.06,599.5,105011,104583,428,0.4092443323
42203,2,島原市,45436,47455,-2019,-4.2545569487,82.97,547.6,17068,17039,29,0.1701977816
42204,2,諫早市,138078,140752,-2674,-1.8997953848,341.79,404,51897,50989,908,1.7807762459
42205,2,大村市,92757,90517,2240,2.4746732658,126.62,732.6,36070,34044,2026,5.9511220773
42207,2,平戸市,31920,34905,-2985,-8.5517834121,235.08,135.8,12421,12885,-464,-3.6010865347
42208,2,松浦市,23309,25145,-1836,-7.3016504275,130.55,178.5,8994,9214,-220,-2.3876709355
42209,2,対馬市,31457,34407,-2950,-8.5738367193,708.63,44.4,13393,13813,-420,-3.0406139144
42210,2,壱岐市,27103,29377,-2274,-7.740749566,139.42,194.4,10002,10401,-399,-3.8361695991
42211,2,五島市,37327,40622,-3295,-8.1113682241,420.05,88.9,17425,18382,-957,-5.2061799587
42212,2,西海市,28691,31176,-2485,-7.9708750321,241.59,118.8,11494,11875,-381,-3.2084210526
